no,status,start,end,effective,platform,name,group
001, Final        , 2006-07-12 ,            ,            , Java ME , Real-time Specification for Java,
002, Withdrawn    ,            ,            , 1999-01-09 ,  , Boundary-Scan API,
003, Withdrawn    ,            ,            , 2014-03-05 , Java SE , Java™ Management Extensions (JMX™) Specification,
004, Maintenance  , 2002-03-19 , 2002-04-22 ,            , Java SE , ECperf Benchmark Specification,
005, Final        , 2000-03-21 ,            ,            , Java EE , XML Parsing Specification,
006, Final        , 2002-05-09 ,            ,            , Java SE , Unified Printing API (Java Print Service API),
007, Withdrawn    ,            ,            , 2004-10-11 ,  , Industrial Automation Extension,
008, Withdrawn    ,            ,            , 1999-05-10 ,  , Open Services Gateway Specification,
009, Maintenance  , 2000-08-18 , 2000-09-18 ,            ,  , Federated Management Architecture Specification,
010, Final        , 2002-05-09 ,            ,            , Java SE , Preferences API Specification,
011, Final        , 2001-10-04 ,            ,            ,  ," JAIN<sup><font size=""-2"">TM</font></sup> TCAP Specification",
012, Maintenance  , 2004-10-25 , 2004-12-06 ,            ,  ," Java<sup><font size=""-2"">TM</font></sup> Data Objects (JDO) Specification",
013, Final        , 2004-09-30 ,            ,            , Java SE , Decimal Arithmetic Enhancement,
014, Final        , 2004-09-30 ,            ,            , Java SE ," Add Generic Types To The Java<sup><font size=""-2"">TM</font></sup> Programming Language",
015, Final        , 2002-05-09 ,            ,            , Java SE , Image I/O Framework Specification,
016, Final        , 2001-09-24 ,            ,            , Java EE ," J2EE<sup><font size=""-2"">TM</font></sup> Connector Architecture",
017, Withdrawn    ,            ,            , 2003-02-05 ,  ," JAIN<sup><font size=""-2"">TM</font></sup> ISUP Specification",
018, Final        , 2000-09-14 ,            ,            ,  ," JAIN<sup><font size=""-2"">TM</font></sup> OAM API Specification",
019, Maintenance  , 2002-02-20 , 2002-03-25 ,            , Java EE ," Enterprise JavaBeans<sup><font size=""-2"">TM</font></sup> 2.0",
020, Rejected     ,            ,            , 1999-08-11 ,  ," Orthogonal Persistence for the Java<sup><font size=""-2"">TM</font></sup> Platform",
021, Final        , 2002-07-30 ,            ,            ,  ," JAIN<sup><font size=""-2"">TM</font></sup> JCC Specification",
022, Final        , 2004-03-03 ,            ,            ,  ," JAIN<sup><font size=""-2"">TM</font></sup> SLEE API Specification",
023, Final        , 2001-10-08 ,            ,            ,  ," JAIN<sup><font size=""-2"">TM</font></sup> MGCP API Specification",
024, Final        , 2002-10-08 ,            ,            ,  ," JAIN<sup><font size=""-2"">TM</font></sup> SPA TSM, SD and SAM 1.0 API",
025, Withdrawn    ,            ,            , 2000-11-21 ,  ," JAIN<sup><font size=""-2"">TM</font></sup> Connectivity Management Specification",
026, Withdrawn    ,            ,            , 2004-03-29 ,  , UML/EJB Mapping Specification,
027, Withdrawn    ,            ,            , 1999-11-05 ,  ," Java<sup><font size=""-2"">TM</font></sup> Cryptography Extension 1.3",
028, Final        , 2003-12-23 ,            ,            ,  , Java SASL Specification,
029, Withdrawn    ,            ,            , 2003-05-30 ,  ," JAIN<sup><font size=""-2"">TM</font></sup> MAP Specification",
030, Final        , 2000-05-30 ,            ,            , Java ME ," J2ME<sup><font size=""-2"">TM</font></sup> Connected, Limited Device Configuration",
031, Final        , 2003-03-04 ,            ,            , Java SE , XML Data Binding Specification,
032, Maintenance  , 2006-11-29 ,            ,            ,  ," JAIN<sup><font size=""-2"">TM</font></sup> SIP API Specification",
033, Withdrawn    ,            ,            , 1999-11-08 ,  , InfoBus 2.0 Specification,
034, Final        , 2002-03-11 ,            ,            ,  ," Java<sup><font size=""-2"">TM</font></sup> Advanced Imaging API 1.1",
035, Final        , 2002-03-05 ,            ,            ,  ," JAIN<sup><font size=""-2"">TM</font></sup> INAP API Specification",
036, Maintenance  , 2005-12-20 ,            ,            , Java ME , Connected Device Configuration,
037, Final        , 2000-09-19 ,            ,            , Java ME ," Mobile Information Device Profile for the J2ME<sup><font size=""-2"">TM</font></sup> Platform",
038, Maintenance  , 2003-01-15 , 2003-02-18 ,            ,  , Application Installation API Specification,
039, Withdrawn    ,            ,            , 2001-10-02 ,  ," Java<sup><font size=""-2"">TM</font></sup> Servlet and JSP Performance Benchmark",
040, Final        , 2002-06-28 ,            ,            ,  ," The Java<sup><font size=""-2"">TM</font></sup> Metadata Interface (JMI) Specification",
041, Final        , 2002-05-09 ,            ,            , Java SE , A Simple Assertion Facility,
042, Withdrawn    ,            ,            , 2000-06-13 ,  , Travel Industry Reservation Booking Foundation API Specification,
